No.,Song name,EZ,HD,IN,AT
100,CROSS†SOUL,7.5,12.6,16.4,
101,Speed Up!,4.5,10.3,14.0,
102,Magenta Potion,6.5,11.3,14.4,
103,Get Back,6.5,10.7,14.0,
104,Palescreen,5.5,12.3,15.9,
105,GOODTEK,5.0,10.0,14.2,
106,GOODBOUNCE,7.5,11.9,14.4,
107,GOODWORLD,3.0,11.4,14.9,
108,GOODFORTUNE,7.5,8.7,15.7,
109,GOODRAGE,5.0,8.5,16.0,
110,The Mountain Eater,5.5,9.6,14.7,
111,Orthodox,4.5,8.5,13.7,
112,End Me,5.5,7.5,14.1,
113,Parallel Retrogression (Game Ver.),7.0,10.9,14.2,
114,Starduster,5.5,11.4,15.2,
115,Electron,3.5,9.4,13.2,
116,SIGMA,5.0,10.5,15.8,
117,Hardcore Kwaya,4.5,8.4,14.6,
118,Äventyr,3.5,9.7,13.7,
119,Träne,1.5,7.0,14.2,
120,雪降り、メリクリ,4.5,10.8,15.4,
121,Cervelle Connexion,5.0,11.3,14.5,
122,modulus,4.5,10.8,14.9,
123,Wavetapper,6.0,9.4,13.9,
124,大和撫子 -Wild Dances-,5.5,11.8,15.1,
125,Eltaw,7.0,10.6,14.8,
126,Initialize,2.5,7.0,11.6,
127,桜樹街道,3.5,8.1,13.0,
128,Get Ready!!,6.0,10.7,13.7,
129,volcanic,7.5,12.1,14.7,16.6
130,Better Graphic Animation,6.0,11.1,15.3,
131,XING,5.5,9.9,13.9,
132,Final Step!,5.5,11.0,14.1,
133,Cthugha,6.0,10.4,16.0,16.1
134,With You,3.5,9.1,13.5,
135,Unorthodox Thoughts,5.5,12.0,13.9,
136,Apocalyptic,3.0,9.6,13.8,
137,游园地,2.5,7.5,13.2,
138,energy trixxx,5.0,10.4,15.4,
139,Nhelv,1.5,12.0,15.6,
140,-Arkhei-,7.5,8.8,12.6,
141,Kerberos,5.5,12.4,15.8,
142,ρars/ey,4.0,11.7,14.6,
143,Concvssion,6.0,11.3,15.6,
144,ジングルベル(Jingle Bell),4.5,8.5,14.5,
145,Time to Night Sky (feat. Lee Yu Jin),3.0,10.1,13.6,
146,HAZARD,4.5,11.0,14.8,
147,Another Me(D_AAN),5.0,9.8,15.6,
148,Don't Never Around,5.0,11.3,15.5,
149,RESSiSTANCE,6.5,11.2,16.1,
150,Dreamland,7.0,10.3,13.6,
151,Another Round,2.5,9.6,13.3,
152,996,4.0,9.4,14.7,
153,Future Mind,4.5,11.0,14.3,
154,Luminescent,5.5,9.7,14.4,
155,FULi AUTO BUSTER,3.5,9.8,14.6,
156,I Must Say No,1.5,9.2,13.5,
157,opia,5.5,10.6,15.6,
158,Apocalypse,4.0,8.6,13.5,
159,Protoflicker,3.5,9.7,15.4,
160,Horizon Blue,6.5,11.6,15.7,
161,You are the Miserable,6.0,11.7,14.1,15.8
162,Stasis,5.0,10.1,15.3,16.7
163,いざ、参ります,3.5,9.2,15.0,
164,月下缭乱,4.5,9.4,14.9,
165,On And On!!,5.0,9.6,15.2,
166,DataErr0r,6.0,11.8,14.6,
167,Shadow,6.5,10.5,14.5,16.2
168,心之所向,4.0,8.2,13.6,
169,inferior,7.0,7.5,14.6,
170,c.s.q.n.,5.0,12.2,15.9,
171,Brave Notes,5.5,11.4,14.6,
172,盏茗,1.5,4.5,13.3,
173,青芽,5.0,10.4,15.1,
174,Eternal Snow,4.0,9.6,13.5,
175,Rainy Season,5.5,10.7,14.2,
176,El Condor Pasa (Phigros Edit),6.5,12.5,15.6,
177,Break Over,5.0,11.5,14.1,14.9
178,Believe Light (feat. 果丸哒呦),2.5,8.9,14.5,
179,Pont des souvenirs,5.5,10.7,15.3,
180,青丘,5.5,10.5,15.5,
181,瓷岁,2.0,6.5,7.0,
182,Feast远东之宴,6.5,12.1,15.5,
183,インフェルノシティ,4.5,11.5,15.7,
184,Upshift,6.0,10.8,15.5,
185,Poison AND÷OR Affection,3.5,9.9,15.7,
186,Random,5.5,12.2,14.7,
187,零號車輛,7.5,12.1,16.2,
188,"Now Is The Time, Do It",4.5,11.2,14.3,
189,Bougainvillea,4.0,8.3,13.2,
190,神話,4.0,8.7,13.5,
191,El último baile,4.5,9.5,14.1,
192,Trojan,5.5,10.8,15.0,
193,Temporal Shifting,4.0,11.5,15.2,
194,Ad astra per aspera,6.5,12.1,16.3,
195,A journey to the moonlight,4.5,10.7,14.5,
196,Rainy Heart,4.0,9.4,12.9,
197,Realms,3.5,10.2,13.8,
198,ぱぴぷぴぷぴぱ,5.0,12.3,15.8,
199,Triumph & Regret,5.0,10.0,15.0,
200,S.A.T.E.L.L.I.T.E.,5.0,9.9,14.3,16.2
201,Dance with Silence,7.0,10.9,15.2,
202,Labyrinth in Kowloon: Walled World,6.0,11.1,15.6,
203,Compute It With Some Devilish Alcoholic Steampunk Engines,5.5,10.6,15.8,
204,+ERABY+E CONNEC+10N,5.5,11.6,16.3,17.3
205,Diamond Eyes,3.5,6.5,13.4,
206,Bitterblossom,2.5,9.5,13.5,
207,"Silence is Golden, Speech is Golden",5.0,9.3,15.6,
208,Fractured Angel,4.0,10.9,16.3,
209,Journey with You,5.0,10.0,13.7,
210,Secret Illumination,5.0,10.2,14.6,
211,Inverted World,5.5,11.2,15.5,
212,月詠に鳴る,6.0,11.4,14.5,15.7
213,TECHNOPOLIS 2085,5.0,10.2,14.1,15.9
214,祈 -我ら神祖と共に歩む者なり-,7.0,13.2,16.4,17.3
215,bye,4.0,9.1,14.8,
216,聖夜讃歌,4.5,10.1,15.2,
217,ストレイソウル・アラウンド,6.0,9.8,14.2,
218,Manifold Hypothesis,4.0,9.1,14.7,
219,K.Moe (VIP),3.0,8.4,15.9,
220,"G.V.N. (Glitter, Vomitus and Neon)",5.0,9.5,15.8,
221,Crush BETA,4.0,10.5,15.2,
223,Broken Sky,3.0,8.6,13.2,
224,BRAIN HACKER,4.5,9.3,14.8,
224,Xenolith,4.0,8.5,14.3,
225,Artificial Existence,3.5,9.3,14.7,
226,Indelible Scar,7.0,11.5,15.3,16.5
227,Antithese,4.5,10.8,15.4,16.4
228,PRAGMATISM -RESURRECTION-,7.5,12.9,16.0,16.6
229,Shine After,4.0,9.7,14.4,
230,Bloom,3.0,11.2,14.9,
231,幽世桔梗,4.5,10.1,14.8,
232,千紫万紅,4.5,12.1,15.6,
233,明鏡烈火,6.0,11.3,15.9,
234,今天不是明天,2.5,8.3,13.4,
235,Cuvism³,3.0,12.2,13.9,16.8
236,iL-Artifact,5.5,10.5,15.7,
237,a truth seeker -Communication with Utopia will be lost-,6.5,12.4,15.8,
238,Bounded Quietude,7.0,7.5,16.2,
239,君往何处 (Quo Vadis),4.0,8.6,14.2,
240,暗夜苏醒 (REANIMATE),5.0,12.8,15.4,
241,Grimheart,3.0,8.9,13.8,
242,Thrash force,4.5,10.7,15.3,
243,Originally,1.0,9.3,14.6,
244,黄金之城 (GOLD TOWN),2.0,10.2,14.7,
245,双重间谍 (Double Agent),4.5,11.8,15.7,
246,幻影鬼魅 (PLEASE),5.5,9.6,15.1,17.0
247,Schadenfreude,4.5,10.6,15.2,
248,Le temps perdu,4.0,9.0,12.5,
249,Fixations Toward the Stars,3.5,10.8,14.5,
250,valor/starcross,6.5,12.5,15.8,
251,Comet,3.0,10.5,13.7,
252,白と黒のバケモノ,4.0,11.4,15.9,
253,Devotion,4.5,9.6,13.9,
254,Kirakira Noel Story!!,4.0,10.2,14.2,
255,Shelter,3.5,8.8,13.1,
256,蝎虎天体 -Lacertid-,4.5,10.7,15.5,
257,贝多芬祝福 (Beethoven Blessing),5.0,10.8,15.0,
258,インマイマインド,1.5,9.2,12.2,
259,ニライカナイ (NiraicA_nai Mix),2.5,8.3,13.5,
260,Swing Skip Drop,4.5,9.1,15.5,
261,宇宙残骸少女 (Cosmic Dusty Girl),6.0,10.2,13.7,
262,Resolver,3.0,8.8,14.5,
263,Luminous Entities Lost Heart,5.0,10.9,15.2,
264,KIZUNA Resolution,8.0,13.4,16.4,
265,AbsoluTe disoRdeR,6.5,12.3,16.2,
266,Aphrodite's Child (short ver.),3.5,8.1,13.3,
267,DevIAtiOn (short ver.),5.0,11.1,15.6,
268,NO x,4.5,10.3,16.1,
269,Alice in a xxxxxxxx,5.0,9.7,15.7,
270,Radiance,3.5,11.5,14.0,15.5
271,Diamond Dust,5.0,10.8,15.3,16.7
272,Stardust:RAY,6.0,12.5,16.5,17.2
273,Frozen Heart,5.0,10.6,14.4,
274,Helios,5.5,9.0,14.1,
275,Flutter Echo,3.5,9.8,14.9,
276,Re：Birth,6.0,12.3,15.4,
277,Avataar ~Reincarnation of Kalpa~,2.0,8.2,13.4,16.6
278,雪降り ~雪が降っている~,1.5,7.5,12.0,14.0
279,Retribution ~ Cycle of Redemption ~,6.0,11.3,16.2,
280,アンビバレンス,3.5,8.7,14.1,
281,Komplexe,4.0,9.6,14.3,
282,sølips,7.5,12.8,16.0,16.8
283,QZKago Requiem,7.0,13.3,16.4,17.4
284,So laggy! (feat. Uzumaki),5.0,9.5,14.8,
285,000 -Ain Soph Aur-,2.5,8.4,14.4,
286,Xep+ion,2.5,9.8,14.8,
287,Archidoxen,4.0,10.0,15.6,
288,百鬼֎夜行,4.5,10.1,15.8,
289,BANGING STRIKE,5.0,10.2,16.0,16.9
290,The Whole Rest,5.0,9.6,13.6,
291,Cristalisia,4.0,10.4,14.4,
292,Hydra,6.0,11.6,15.4,17.1
293,最高傑作,4.5,9.3,13.9,
294,Locomotive,4.0,9.7,13.5,
295,Alb,3.5,8.9,14.7,
296,Incyde,7.0,12.1,16.2,
297,彩,6.0,12.5,16.4,
298,彼方へ、名もなき海辺より,3.5,8.1,14.5,
299,ABYSS MOTION 192.333,4.0,9.8,14.7,
300,Xenophobia,6.5,12.7,14.9,
301,Verrückt,7.0,12.6,16.5,
302,After ZABANIYA (MUG Edit),5.0,10.2,15.6,
303,下一秒,4.0,8.5,13.2,
304,玩具狂奏曲 -終焉-,8.4,13.1,15.8,
305,Snow Dance,4.0,8.3,12.4,
306,亂★舞,2.0,7.5,13.0,
307,Cleyera,5.0,11.0,15.6,
308,70 Minutes Fighters,7.5,12.5,16.5,
309,Gungnir Fracture,6.0,11.5,16.6,
310,夢の降る日に,2.5,9.8,16.6,
311,Der Schneid,7.0,11.9,16.1,17.5
312,星拂云锦 feat. koi,4.0,9.0,15.5,
